section,name,ok,error,diagnostic_output,failures,config,run_dir,visual_outputs,visual_error,profile_rows,policy_rows,epsilon,delta,memory_budget_mib,count,ok_count,measured_count,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_peak_memory_mib,p95_peak_memory_mib,mean_kv_cache_memory_mib,p95_kv_cache_memory_mib,mean_quality_loss,p50_quality_loss,p95_quality_loss,p99_quality_loss,cvar_quality_loss,violation_rate,delta_slack,worst_group_violation,safe_ratio,fallback_ratio,exact_fallback_ratio,exact_action_ratio,lossy_action_ratio,unique_action_count,identical_to_full_lru,unsafe_action_count,candidate_safe_count,action_distribution,has_h0_tail_metrics,has_h1_coverage_metrics,has_h2_lite_benefit_metrics,deployable_baseline_names,audit_rate,backend_distribution,budget_hit_rate,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,drift_state,mean_cumulative_kv_mib,mean_resident_kv_mib,optimality_gap,oracle,oracle_cost_ms,placeholder,pred_loss_mean,primary_metric_distribution,profile_residence_share,recompute_count,recompute_time_ms,restore_count,restore_time_ms,risk_upper_mean,switch_count,target_delta,violation_rate_eps0p05,violation_rate_eps0p1
policy,static_best,True,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot.yaml,,,,,,0.05,0.05,2000.0,100.0,100.0,,357.1460846811533,174.88570883870125,2034.6498638391495,2158.7329618632793,6804.79505859375,7127.7138671875,18.8890625,46.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,0.0,,,,,,,,,False,,True,0.0,,"{""full_gpu"": 1.0}",0.0,,0.0,,0.0,0.0,0.05,,
policy,static_safe,True,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot.yaml,,,,,,0.05,0.05,2000.0,100.0,100.0,,357.1460846811533,174.88570883870125,2034.6498638391495,2158.7329618632793,6804.79505859375,7127.7138671875,18.8890625,46.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,0.0,,,,,,,,,False,,True,0.0,,"{""full_gpu"": 1.0}",0.0,,0.0,,0.0,0.0,0.05,,
policy,utility_dynamic,True,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot.yaml,,,,,,0.05,0.05,2000.0,100.0,100.0,,405.49883909523487,226.87721624970436,1982.1874983608723,2186.5801364183426,15551.551572265626,16314.4541015625,6.165396118164063,18.33697509765625,0.96,1.0,1.0,1.0,1.0,0.96,-0.9099999999999999,1.0,0.0,0.0,0.0,0.0,1.0,2.0,False,100.0,1.0,"{""h2o_heavy10_recent10"": 32, ""h2o_heavy20_recent20"": 68}",,,,,,,0.0,,,,,,7.30404541015625,7.30404541015625,,False,,True,0.8669696969696963,,"{""h2o_heavy10_recent10"": 0.29444683598794663, ""h2o_heavy20_recent20"": 0.7055531640120534}",0.0,,0.0,,1.0041477272727275,34.0,0.05,,
policy,uncalibrated_dynamic,True,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot.yaml,,,,,,0.05,0.05,2000.0,100.0,100.0,,357.1460846811533,174.88570883870125,2034.6498638391495,2158.7329618632793,6804.79505859375,7127.7138671875,18.8890625,46.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,1.0,"{""full_gpu"": 100}",,,,,,,0.0,,,,,,,,,False,,True,0.0,,"{""full_gpu"": 1.0}",0.0,,0.0,,0.0,0.0,0.05,,
policy,full_lru,True,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot.yaml,,,,,,0.05,0.05,2500.0,100.0,100.0,,357.1460846811533,174.88570883870125,2034.6498638391495,2158.7329618632793,6804.79505859375,7127.7138671875,18.8890625,46.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,0.0,,,,,,,,,False,,False,,,"{""full_gpu"": 1.0}",0.0,,0.0,,,0.0,0.05,,
policy,static_best,True,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot.yaml,,,,,,0.05,0.05,2500.0,100.0,100.0,,357.1460846811533,174.88570883870125,2034.6498638391495,2158.7329618632793,6804.79505859375,7127.7138671875,18.8890625,46.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,0.0,,,,,,,,,False,,True,0.0,,"{""full_gpu"": 1.0}",0.0,,0.0,,0.0,0.0,0.05,,
policy,static_safe,True,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot.yaml,,,,,,0.05,0.05,2500.0,100.0,100.0,,357.1460846811533,174.88570883870125,2034.6498638391495,2158.7329618632793,6804.79505859375,7127.7138671875,18.8890625,46.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,0.0,,,,,,,,,False,,True,0.0,,"{""full_gpu"": 1.0}",0.0,,0.0,,0.0,0.0,0.05,,
policy,utility_dynamic,True,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot.yaml,,,,,,0.05,0.05,2500.0,100.0,100.0,,405.49883909523487,226.87721624970436,1982.1874983608723,2186.5801364183426,15551.551572265626,16314.4541015625,6.165396118164063,18.33697509765625,0.96,1.0,1.0,1.0,1.0,0.96,-0.9099999999999999,1.0,0.0,0.0,0.0,0.0,1.0,2.0,False,100.0,1.0,"{""h2o_heavy10_recent10"": 32, ""h2o_heavy20_recent20"": 68}",,,,,,,0.0,,,,,,7.30404541015625,7.30404541015625,,False,,True,0.8669696969696963,,"{""h2o_heavy10_recent10"": 0.29444683598794663, ""h2o_heavy20_recent20"": 0.7055531640120534}",0.0,,0.0,,1.0041477272727275,34.0,0.05,,
policy,uncalibrated_dynamic,True,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot.yaml,,,,,,0.05,0.05,2500.0,100.0,100.0,,357.1460846811533,174.88570883870125,2034.6498638391495,2158.7329618632793,6804.79505859375,7127.7138671875,18.8890625,46.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,1.0,"{""full_gpu"": 100}",,,,,,,0.0,,,,,,,,,False,,True,0.0,,"{""full_gpu"": 1.0}",0.0,,0.0,,0.0,0.0,0.05,,
policy,full_lru,True,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot.yaml,,,,,,0.05,0.1,2000.0,100.0,100.0,,357.1460846811533,174.88570883870125,2034.6498638391495,2158.7329618632793,6804.79505859375,7127.7138671875,18.8890625,46.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,0.0,,,,,,,,,False,,False,,,"{""full_gpu"": 1.0}",0.0,,0.0,,,0.0,0.1,,
policy,static_best,True,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot.yaml,,,,,,0.05,0.1,2000.0,100.0,100.0,,357.1460846811533,174.88570883870125,2034.6498638391495,2158.7329618632793,6804.79505859375,7127.7138671875,18.8890625,46.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,0.0,,,,,,,,,False,,True,0.0,,"{""full_gpu"": 1.0}",0.0,,0.0,,0.0,0.0,0.1,,
policy,static_safe,True,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot.yaml,,,,,,0.05,0.1,2000.0,100.0,100.0,,357.1460846811533,174.88570883870125,2034.6498638391495,2158.7329618632793,6804.79505859375,7127.7138671875,18.8890625,46.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,0.0,,,,,,,,,False,,True,0.0,,"{""full_gpu"": 1.0}",0.0,,0.0,,0.0,0.0,0.1,,
policy,utility_dynamic,True,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot.yaml,,,,,,0.05,0.1,2000.0,100.0,100.0,,405.49883909523487,226.87721624970436,1982.1874983608723,2186.5801364183426,15551.551572265626,16314.4541015625,6.165396118164063,18.33697509765625,0.96,1.0,1.0,1.0,1.0,0.96,-0.86,1.0,0.0,0.0,0.0,0.0,1.0,2.0,False,100.0,1.0,"{""h2o_heavy10_recent10"": 32, ""h2o_heavy20_recent20"": 68}",,,,,,,0.0,,,,,,7.30404541015625,7.30404541015625,,False,,True,0.8669696969696963,,"{""h2o_heavy10_recent10"": 0.29444683598794663, ""h2o_heavy20_recent20"": 0.7055531640120534}",0.0,,0.0,,1.0041477272727275,34.0,0.1,,
policy,uncalibrated_dynamic,True,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot.yaml,,,,,,0.05,0.1,2000.0,100.0,100.0,,357.1460846811533,174.88570883870125,2034.6498638391495,2158.7329618632793,6804.79505859375,7127.7138671875,18.8890625,46.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,1.0,"{""full_gpu"": 100}",,,,,,,0.0,,,,,,,,,False,,True,0.0,,"{""full_gpu"": 1.0}",0.0,,0.0,,0.0,0.0,0.1,,
policy,full_lru,True,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot.yaml,,,,,,0.05,0.1,2500.0,100.0,100.0,,357.1460846811533,174.88570883870125,2034.6498638391495,2158.7329618632793,6804.79505859375,7127.7138671875,18.8890625,46.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,0.0,,,,,,,,,False,,False,,,"{""full_gpu"": 1.0}",0.0,,0.0,,,0.0,0.1,,
policy,static_best,True,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot.yaml,,,,,,0.05,0.1,2500.0,100.0,100.0,,357.1460846811533,174.88570883870125,2034.6498638391495,2158.7329618632793,6804.79505859375,7127.7138671875,18.8890625,46.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,0.0,,,,,,,,,False,,True,0.0,,"{""full_gpu"": 1.0}",0.0,,0.0,,0.0,0.0,0.1,,
policy,static_safe,True,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot.yaml,,,,,,0.05,0.1,2500.0,100.0,100.0,,357.1460846811533,174.88570883870125,2034.6498638391495,2158.7329618632793,6804.79505859375,7127.7138671875,18.8890625,46.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,0.0,,,,,,,,,False,,True,0.0,,"{""full_gpu"": 1.0}",0.0,,0.0,,0.0,0.0,0.1,,
policy,utility_dynamic,True,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot.yaml,,,,,,0.05,0.1,2500.0,100.0,100.0,,405.49883909523487,226.87721624970436,1982.1874983608723,2186.5801364183426,15551.551572265626,16314.4541015625,6.165396118164063,18.33697509765625,0.96,1.0,1.0,1.0,1.0,0.96,-0.86,1.0,0.0,0.0,0.0,0.0,1.0,2.0,False,100.0,1.0,"{""h2o_heavy10_recent10"": 32, ""h2o_heavy20_recent20"": 68}",,,,,,,0.0,,,,,,7.30404541015625,7.30404541015625,,False,,True,0.8669696969696963,,"{""h2o_heavy10_recent10"": 0.29444683598794663, ""h2o_heavy20_recent20"": 0.7055531640120534}",0.0,,0.0,,1.0041477272727275,34.0,0.1,,
policy,uncalibrated_dynamic,True,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot.yaml,,,,,,0.05,0.1,2500.0,100.0,100.0,,357.1460846811533,174.88570883870125,2034.6498638391495,2158.7329618632793,6804.79505859375,7127.7138671875,18.8890625,46.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,1.0,"{""full_gpu"": 100}",,,,,,,0.0,,,,,,,,,False,,True,0.0,,"{""full_gpu"": 1.0}",0.0,,0.0,,0.0,0.0,0.1,,
policy,full_lru,True,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot.yaml,,,,,,0.1,0.05,2000.0,100.0,100.0,,357.1460846811533,174.88570883870125,2034.6498638391495,2158.7329618632793,6804.79505859375,7127.7138671875,18.8890625,46.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,0.0,,,,,,,,,False,,False,,,"{""full_gpu"": 1.0}",0.0,,0.0,,,0.0,0.05,,
policy,static_best,True,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot.yaml,,,,,,0.1,0.05,2000.0,100.0,100.0,,357.1460846811533,174.88570883870125,2034.6498638391495,2158.7329618632793,6804.79505859375,7127.7138671875,18.8890625,46.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,0.0,,,,,,,,,False,,True,0.0,,"{""full_gpu"": 1.0}",0.0,,0.0,,0.0,0.0,0.05,,
policy,static_safe,True,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot.yaml,,,,,,0.1,0.05,2000.0,100.0,100.0,,357.1460846811533,174.88570883870125,2034.6498638391495,2158.7329618632793,6804.79505859375,7127.7138671875,18.8890625,46.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,0.0,,,,,,,,,False,,True,0.0,,"{""full_gpu"": 1.0}",0.0,,0.0,,0.0,0.0,0.05,,
policy,utility_dynamic,True,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot.yaml,,,,,,0.1,0.05,2000.0,100.0,100.0,,405.49883909523487,226.87721624970436,1982.1874983608723,2186.5801364183426,15551.551572265626,16314.4541015625,6.165396118164063,18.33697509765625,0.96,1.0,1.0,1.0,1.0,0.96,-0.9099999999999999,1.0,0.0,0.0,0.0,0.0,1.0,2.0,False,100.0,1.0,"{""h2o_heavy10_recent10"": 32, ""h2o_heavy20_recent20"": 68}",,,,,,,0.0,,,,,,7.30404541015625,7.30404541015625,,False,,True,0.8669696969696963,,"{""h2o_heavy10_recent10"": 0.29444683598794663, ""h2o_heavy20_recent20"": 0.7055531640120534}",0.0,,0.0,,1.0041477272727275,34.0,0.05,,
policy,uncalibrated_dynamic,True,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot.yaml,,,,,,0.1,0.05,2000.0,100.0,100.0,,357.1460846811533,174.88570883870125,2034.6498638391495,2158.7329618632793,6804.79505859375,7127.7138671875,18.8890625,46.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,1.0,"{""full_gpu"": 100}",,,,,,,0.0,,,,,,,,,False,,True,0.0,,"{""full_gpu"": 1.0}",0.0,,0.0,,0.0,0.0,0.05,,
policy,full_lru,True,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot.yaml,,,,,,0.1,0.05,2500.0,100.0,100.0,,357.1460846811533,174.88570883870125,2034.6498638391495,2158.7329618632793,6804.79505859375,7127.7138671875,18.8890625,46.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,0.0,,,,,,,,,False,,False,,,"{""full_gpu"": 1.0}",0.0,,0.0,,,0.0,0.05,,
policy,static_best,True,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot.yaml,,,,,,0.1,0.05,2500.0,100.0,100.0,,357.1460846811533,174.88570883870125,2034.6498638391495,2158.7329618632793,6804.79505859375,7127.7138671875,18.8890625,46.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,0.0,,,,,,,,,False,,True,0.0,,"{""full_gpu"": 1.0}",0.0,,0.0,,0.0,0.0,0.05,,
policy,static_safe,True,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot.yaml,,,,,,0.1,0.05,2500.0,100.0,100.0,,357.1460846811533,174.88570883870125,2034.6498638391495,2158.7329618632793,6804.79505859375,7127.7138671875,18.8890625,46.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,0.0,,,,,,,,,False,,True,0.0,,"{""full_gpu"": 1.0}",0.0,,0.0,,0.0,0.0,0.05,,
policy,utility_dynamic,True,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot.yaml,,,,,,0.1,0.05,2500.0,100.0,100.0,,405.49883909523487,226.87721624970436,1982.1874983608723,2186.5801364183426,15551.551572265626,16314.4541015625,6.165396118164063,18.33697509765625,0.96,1.0,1.0,1.0,1.0,0.96,-0.9099999999999999,1.0,0.0,0.0,0.0,0.0,1.0,2.0,False,100.0,1.0,"{""h2o_heavy10_recent10"": 32, ""h2o_heavy20_recent20"": 68}",,,,,,,0.0,,,,,,7.30404541015625,7.30404541015625,,False,,True,0.8669696969696963,,"{""h2o_heavy10_recent10"": 0.29444683598794663, ""h2o_heavy20_recent20"": 0.7055531640120534}",0.0,,0.0,,1.0041477272727275,34.0,0.05,,
policy,uncalibrated_dynamic,True,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot.yaml,,,,,,0.1,0.05,2500.0,100.0,100.0,,357.1460846811533,174.88570883870125,2034.6498638391495,2158.7329618632793,6804.79505859375,7127.7138671875,18.8890625,46.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,1.0,"{""full_gpu"": 100}",,,,,,,0.0,,,,,,,,,False,,True,0.0,,"{""full_gpu"": 1.0}",0.0,,0.0,,0.0,0.0,0.05,,
policy,full_lru,True,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot.yaml,,,,,,0.1,0.1,2000.0,100.0,100.0,,357.1460846811533,174.88570883870125,2034.6498638391495,2158.7329618632793,6804.79505859375,7127.7138671875,18.8890625,46.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,0.0,,,,,,,,,False,,False,,,"{""full_gpu"": 1.0}",0.0,,0.0,,,0.0,0.1,,
policy,static_best,True,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot.yaml,,,,,,0.1,0.1,2000.0,100.0,100.0,,357.1460846811533,174.88570883870125,2034.6498638391495,2158.7329618632793,6804.79505859375,7127.7138671875,18.8890625,46.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,0.0,,,,,,,,,False,,True,0.0,,"{""full_gpu"": 1.0}",0.0,,0.0,,0.0,0.0,0.1,,
policy,static_safe,True,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot.yaml,,,,,,0.1,0.1,2000.0,100.0,100.0,,357.1460846811533,174.88570883870125,2034.6498638391495,2158.7329618632793,6804.79505859375,7127.7138671875,18.8890625,46.484375,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,True,0.0,,"{""full_gpu"": 100}",,,,,,,0.0,,,,,,,,,False,,True,0.0,,"{""full_gpu"": 1.0}",0.0,,0.0,,0.0,0.0,0.1,,
policy,utility_dynamic,True,,,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/configs/pilot.yaml,,,,,,0.1,0.1,2000.0,100.0,100.0,,405.49883909523487,226.87721624970436,1982.1874983608723,2186.5801364183426,15551.551572265626,16314.4541015625,6.165396118164063,18.33697509765625,0.96,1.0,1.0,1.0,1.0,0.96,-0.86,1.0,0.0,0.0,0.0,0.0,1.0,2.0,False,100.0,1.0,"{""h2o_heavy10_recent10"": 32, ""h2o_heavy20_recent20"": 68}",,,,,,,0.0,,,,,,7.30404541015625,7.30404541015625,,False,,True,0.8669696969696963,,"{""h2o_heavy10_recent10"": 0.29444683598794663, ""h2o_heavy20_recent20"": 0.7055531640120534}",0.0,,0.0,,1.0041477272727275,34.0,0.1,,
